"ScanNumber, ScanName, ScanPointNumber, corr_Xcoord in mm per BX, corr_Ycoord in mm per BX"
Scan_1
1,X1,22,"{'281': 0.00114781146275141, '1783': 0.0010892674071579466, '872': 0.0011028958543702803, '2063': 0.0011148873863905161, '41': 0.0011480358928422866}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
1,X1,23,"{'281': 0.0010350620975684516, '1783': 0.00098075556992430657, '872': 0.00099463080478085701, '2063': 0.0010062030093276346, '41': 0.0010368820301652831}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
1,X1,24,"{'281': 0.00093996013706962767, '1783': 0.00089038802514323546, '872': 0.00090300385830793253, '2063': 0.00091524158916065669, '41': 0.00094218307411625271}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
1,X1,25,"{'281': 0.00086004762669564716, '1783': 0.00081484756308112692, '872': 0.00082592734815479065, '2063': 0.00083885942075149459, '41': 0.00086220706537558746}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
Scan_2
2,Y2,1,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.00078437598129644148, '1783': -0.00074693639051347672, '872': -0.00074953847691477818, '2063': -0.00078089181900020026, '41': -0.0007851223037018103}"
2,Y2,2,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.00085368690198794764, '1783': -0.00081333658089968036, '872': -0.00081543981611534094, '2063': -0.00085136313864036227, '41': -0.00085432176583312707}"
2,Y2,3,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.00093602282690674252, '1783': -0.00089245638505801035, '872': -0.00089364223763629437, '2063': -0.00093536424919652588, '41': -0.00093634162495410348}"
2,Y2,4,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0010344189016611974, '1783': -0.00098761333170649108, '872': -0.00098702422624138259, '2063': -0.0010358454504937064, '41': -0.0010338365981748796}"
2,Y2,5,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0011512609343634894, '1783': -0.0011020600982150834, '872': -0.0010978820882601749, '2063': -0.0011546264479050526, '41': -0.0011483620925762036}"
2,Y2,6,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0012850299397827514, '1783': -0.0012362177319066056, '872': -0.0012249269886686182, '2063': -0.0012888091818280419, '41': -0.0012769484140959823}"
2,Y2,7,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0014242474745798388, '1783': -0.0013815357056650753, '872': -0.0013574828572664509, '2063': -0.0014247741453708549, '41': -0.0014064064587818801}"
2,Y2,8,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.001538499235363819, '1783': -0.0015101721741724989, '872': -0.0014668504064075461, '2063': -0.0015304239708399173, '41': -0.0015058229859112649}"
