fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,atlas_totInst
5710,295191,21,52,1495760760,333,1,7,3,32,ACQUIRING,MIXED,5,0.0,0.00407864386216,0.0268116742373,-0.00407864386216,-0.0268116742373,0.0,0.0,-0.0,-0.0,0
5710,295191,21,56,1495760761,746,1,7,3,32,ACQUIRING,MIXED,4,0.0,0.00407864386216,0.0268116742373,-0.00407864386216,-0.0268116742373,0.0,0.0,-0.0,-0.0,0
5710,295191,21,60,1495760763,165,1,7,3,32,ACQUIRING,MIXED,3,0.0,0.00407864386216,0.0268116742373,-0.00407864386216,-0.0268116742373,0.0,0.0,-0.0,-0.0,0
5710,295191,21,64,1495760764,678,1,7,3,32,ACQUIRING,MIXED,1,0.0,0.00407864386216,0.0268116742373,-0.00407864386216,-0.0268116742373,0.0,0.0,-0.0,-0.0,0
5710,295191,22,20,1495760771,918,1,9,3,32,ACQUIRING,MIXED,10,0.0142165571451,0.00407864386216,0.0339199528098,-0.00407864386216,-0.0339199528098,0.0,0.00710827857256,-0.0,-0.00710827857256,0
5710,295191,22,24,1495760773,429,1,9,3,32,ACQUIRING,MIXED,9,0.0142165571451,0.00407864386216,0.0339199528098,-0.00407864386216,-0.0339199528098,0.0,0.00710827857256,-0.0,-0.00710827857256,0
5710,295191,22,28,1495760774,840,1,9,3,32,ACQUIRING,MIXED,7,0.0142165571451,0.00407864386216,0.0339199528098,-0.00407864386216,-0.0339199528098,0.0,0.00710827857256,-0.0,-0.00710827857256,0
5710,295191,22,32,1495760776,353,1,9,3,32,ACQUIRING,MIXED,6,0.0142165571451,0.00407864386216,0.0339199528098,-0.00407864386216,-0.0339199528098,0.0,0.00710827857256,-0.0,-0.00710827857256,0
5710,295191,22,36,1495760777,765,1,9,3,32,ACQUIRING,MIXED,4,0.0142165571451,0.00407864386216,0.0339199528098,-0.00407864386216,-0.0339199528098,0.0,0.00710827857256,-0.0,-0.00710827857256,0
5710,295191,22,40,1495760779,286,1,9,3,32,ACQUIRING,MIXED,3,0.0142165571451,0.00407864386216,0.0339199528098,-0.00407864386216,-0.0339199528098,0.0,0.00710827857256,-0.0,-0.00710827857256,0
5710,295191,22,44,1495760780,697,1,9,3,32,ACQUIRING,MIXED,1,0.0142165571451,0.00407864386216,0.0339199528098,-0.00407864386216,-0.0339199528098,0.0,0.00710827857256,-0.0,-0.00710827857256,0
5710,295191,23,4,1495760789,428,1,11,3,32,ACQUIRING,MIXED,9,0.0284331142902,0.00407864386216,0.0410282313824,-0.00407864386216,-0.0410282313824,0.0,0.0142165571451,-0.0,-0.0142165571451,0
5710,295191,23,8,1495760790,941,1,11,3,32,ACQUIRING,MIXED,8,0.0284331142902,0.00407864386216,0.0410282313824,-0.00407864386216,-0.0410282313824,0.0,0.0142165571451,-0.0,-0.0142165571451,0
5710,295191,23,12,1495760792,354,1,11,3,32,ACQUIRING,MIXED,6,0.0284331142902,0.00407864386216,0.0410282313824,-0.00407864386216,-0.0410282313824,0.0,0.0142165571451,-0.0,-0.0142165571451,0
5710,295191,23,16,1495760793,768,1,11,3,32,ACQUIRING,MIXED,5,0.0284331142902,0.00407864386216,0.0410282313824,-0.00407864386216,-0.0410282313824,0.0,0.0142165571451,-0.0,-0.0142165571451,0
5710,295191,23,20,1495760795,284,1,11,3,32,ACQUIRING,MIXED,3,0.0284331142902,0.00407864386216,0.0410282313824,-0.00407864386216,-0.0410282313824,0.0,0.0142165571451,-0.0,-0.0142165571451,0
5710,295191,23,24,1495760796,706,1,11,3,32,ACQUIRING,MIXED,2,0.0284331142902,0.00407864386216,0.0410282313824,-0.00407864386216,-0.0410282313824,0.0,0.0142165571451,-0.0,-0.0142165571451,0
5710,295191,23,28,1495760798,217,1,11,3,32,ACQUIRING,MIXED,1,0.0284331142902,0.00407864386216,0.0410282313824,-0.00407864386216,-0.0410282313824,0.0,0.0142165571451,-0.0,-0.0142165571451,0
5710,295191,23,48,1495760805,470,1,13,3,32,ACQUIRING,MIXED,10,0.0426496714354,0.00407864386216,0.0481365136802,-0.00407864386216,-0.0481365136802,0.0,0.0213248357177,-0.0,-0.0213248357177,0
5710,295191,23,52,1495760806,881,1,13,3,32,ACQUIRING,MIXED,8,0.0426496714354,0.00407864386216,0.0481365136802,-0.00407864386216,-0.0481365136802,0.0,0.0213248357177,-0.0,-0.0213248357177,0
5710,295191,23,56,1495760808,393,1,13,3,32,ACQUIRING,MIXED,7,0.0426496714354,0.00407864386216,0.0481365136802,-0.00407864386216,-0.0481365136802,0.0,0.0213248357177,-0.0,-0.0213248357177,0
5710,295191,23,60,1495760809,813,1,13,3,32,ACQUIRING,MIXED,5,0.0426496714354,0.00407864386216,0.0481365136802,-0.00407864386216,-0.0481365136802,0.0,0.0213248357177,-0.0,-0.0213248357177,0
5710,295191,23,64,1495760811,326,1,13,3,32,ACQUIRING,MIXED,4,0.0426496714354,0.00407864386216,0.0481365136802,-0.00407864386216,-0.0481365136802,0.0,0.0213248357177,-0.0,-0.0213248357177,0
5710,295191,24,4,1495760812,740,1,13,3,32,ACQUIRING,MIXED,2,0.0426496714354,0.00407864386216,0.0481365136802,-0.00407864386216,-0.0481365136802,0.0,0.0213248357177,-0.0,-0.0213248357177,0
5710,295191,24,8,1495760814,253,1,13,3,32,ACQUIRING,MIXED,1,0.0426496714354,0.00407864386216,0.0481365136802,-0.00407864386216,-0.0481365136802,0.0,0.0213248357177,-0.0,-0.0213248357177,0
5710,295192,1,8,1495760832,195,1,1,3,32,ACQUIRING,MIXED,9,-0.0426496714354,-0.0172461923212,0.0268116760999,0.0172461923212,-0.0268116760999,-0.0213248357177,0.0,0.0213248357177,-0.0,0
5710,295192,1,12,1495760833,607,1,1,3,32,ACQUIRING,MIXED,8,-0.0426496714354,-0.0172461923212,0.0268116760999,0.0172461923212,-0.0268116760999,-0.0213248357177,0.0,0.0213248357177,-0.0,0
5710,295192,1,16,1495760835,19,1,1,3,32,ACQUIRING,MIXED,7,-0.0426496714354,-0.0172461923212,0.0268116760999,0.0172461923212,-0.0268116760999,-0.0213248357177,0.0,0.0213248357177,-0.0,0
5710,295192,1,20,1495760836,529,1,1,3,32,ACQUIRING,MIXED,5,-0.0426496714354,-0.0172461923212,0.0268116760999,0.0172461923212,-0.0268116760999,-0.0213248357177,0.0,0.0213248357177,-0.0,0
5710,295192,1,24,1495760837,941,1,1,3,32,ACQUIRING,MIXED,4,-0.0426496714354,-0.0172461923212,0.0268116760999,0.0172461923212,-0.0268116760999,-0.0213248357177,0.0,0.0213248357177,-0.0,0
5710,295192,1,28,1495760839,453,1,1,3,32,ACQUIRING,MIXED,2,-0.0426496714354,-0.0172461923212,0.0268116760999,0.0172461923212,-0.0268116760999,-0.0213248357177,0.0,0.0213248357177,-0.0,0
5710,295192,1,32,1495760840,866,1,1,3,32,ACQUIRING,MIXED,1,-0.0426496714354,-0.0172461923212,0.0268116760999,0.0172461923212,-0.0268116760999,-0.0213248357177,0.0,0.0213248357177,-0.0,0
5710,295192,1,52,1495760848,156,1,3,3,32,ACQUIRING,MIXED,10,-0.0284331142902,-0.0101379128173,0.0268116760999,0.0101379128173,-0.0268116760999,-0.0142165571451,0.0,0.0142165571451,-0.0,0
5710,295192,1,56,1495760849,683,1,3,3,32,ACQUIRING,MIXED,8,-0.0284331142902,-0.0101379128173,0.0268116760999,0.0101379128173,-0.0268116760999,-0.0142165571451,0.0,0.0142165571451,-0.0,0
5710,295192,1,60,1495760851,116,1,3,3,32,ACQUIRING,MIXED,7,-0.0284331142902,-0.0101379128173,0.0268116760999,0.0101379128173,-0.0268116760999,-0.0142165571451,0.0,0.0142165571451,-0.0,0
5710,295192,1,64,1495760852,539,1,3,3,32,ACQUIRING,MIXED,5,-0.0284331142902,-0.0101379128173,0.0268116760999,0.0101379128173,-0.0268116760999,-0.0142165571451,0.0,0.0142165571451,-0.0,0
5710,295192,2,4,1495760854,53,1,3,3,32,ACQUIRING,MIXED,4,-0.0284331142902,-0.0101379128173,0.0268116760999,0.0101379128173,-0.0268116760999,-0.0142165571451,0.0,0.0142165571451,-0.0,0
5710,295192,2,8,1495760855,480,1,3,3,32,ACQUIRING,MIXED,2,-0.0284331142902,-0.0101379128173,0.0268116760999,0.0101379128173,-0.0268116760999,-0.0142165571451,0.0,0.0142165571451,-0.0,0
5710,295192,2,12,1495760856,896,1,3,3,32,ACQUIRING,MIXED,1,-0.0284331142902,-0.0101379128173,0.0268116760999,0.0101379128173,-0.0268116760999,-0.0142165571451,0.0,0.0142165571451,-0.0,0
5710,295192,2,36,1495760865,681,1,5,3,32,ACQUIRING,MIXED,9,-0.0142165571451,-0.00302963401191,0.0268116760999,0.00302963401191,-0.0268116760999,-0.00710827857256,0.0,0.00710827857256,-0.0,0
5710,295192,2,40,1495760867,92,1,5,3,32,ACQUIRING,MIXED,8,-0.0142165571451,-0.00302963401191,0.0268116760999,0.00302963401191,-0.0268116760999,-0.00710827857256,0.0,0.00710827857256,-0.0,0
5710,295192,2,44,1495760868,602,1,5,3,32,ACQUIRING,MIXED,6,-0.0142165571451,-0.00302963401191,0.0268116760999,0.00302963401191,-0.0268116760999,-0.00710827857256,0.0,0.00710827857256,-0.0,0
5710,295192,2,48,1495760870,51,1,5,3,32,ACQUIRING,MIXED,5,-0.0142165571451,-0.00302963401191,0.0268116760999,0.00302963401191,-0.0268116760999,-0.00710827857256,0.0,0.00710827857256,-0.0,0
5710,295192,2,52,1495760871,462,1,5,3,32,ACQUIRING,MIXED,3,-0.0142165571451,-0.00302963401191,0.0268116760999,0.00302963401191,-0.0268116760999,-0.00710827857256,0.0,0.00710827857256,-0.0,0
5710,295192,2,56,1495760872,974,1,5,3,32,ACQUIRING,MIXED,2,-0.0142165571451,-0.00302963401191,0.0268116760999,0.00302963401191,-0.0268116760999,-0.00710827857256,0.0,0.00710827857256,-0.0,0
5710,295192,3,16,1495760881,665,1,7,3,32,ACQUIRING,MIXED,10,0.0,0.00407864479348,0.0268116760999,-0.00407864479348,-0.0268116760999,0.0,0.0,-0.0,-0.0,0
5710,295192,3,20,1495760883,184,1,7,3,32,ACQUIRING,MIXED,8,0.0,0.00407864479348,0.0268116760999,-0.00407864479348,-0.0268116760999,0.0,0.0,-0.0,-0.0,0
5710,295192,3,24,1495760884,596,1,7,3,32,ACQUIRING,MIXED,7,0.0,0.00407864479348,0.0268116760999,-0.00407864479348,-0.0268116760999,0.0,0.0,-0.0,-0.0,0
5710,295192,3,28,1495760886,107,1,7,3,32,ACQUIRING,MIXED,5,0.0,0.00407864479348,0.0268116760999,-0.00407864479348,-0.0268116760999,0.0,0.0,-0.0,-0.0,0
5710,295192,3,32,1495760887,521,1,7,3,32,ACQUIRING,MIXED,4,0.0,0.00407864479348,0.0268116760999,-0.00407864479348,-0.0268116760999,0.0,0.0,-0.0,-0.0,0
5710,295192,3,36,1495760888,938,1,7,3,32,ACQUIRING,MIXED,2,0.0,0.00407864479348,0.0268116760999,-0.00407864479348,-0.0268116760999,0.0,0.0,-0.0,-0.0,0
5710,295192,3,40,1495760890,454,1,7,3,32,ACQUIRING,MIXED,1,0.0,0.00407864479348,0.0268116760999,-0.00407864479348,-0.0268116760999,0.0,0.0,-0.0,-0.0,0
