timestamp,fill,filledbunches,fit,peak_x_bx,peak_x_bx_stdev,capsigma_x_bx,capsigma_x_bx_stdev,peak_y_bx,peak_y_bx_stdev,capsigma_y_bx,capsigma_y_bx_stdev,sigmavis_bx,sigmavis_bx_stdev
2017-05-27 20:37:51,5718.0,63.0,SGConst,0.0579495179877,0.000762086034817,0.0253921976764,9.84346780822e-05,0.0569329833724,0.000726892398199,0.0201965029957,0.000140308920392,183.988889339,0.63366398869
2017-05-27 21:49:09,5718.0,63.0,SGConst,0.0595711508229,0.000703492357535,0.0252635696037,8.83434322475e-05,0.0589465031837,0.000670345621666,0.0202995924576,0.00012544986911,189.991926006,0.363546306771
2017-05-27 21:49:09,5718.0,63.0,DGConst,0.0596023158158,0.000712717318533,0.0252575696259,9.02500628001e-05,0.0594942199545,0.000701226533101,0.0204291954998,0.000133576587755,192.03038069,0.394893906884
2017-05-28 03:59:52,5718.0,63.0,SGConst,0.0647497071503,0.000497695438562,0.0246583592299,6.51265462131e-05,0.0645408450983,0.000500839404657,0.0195754997863,0.000103350624848,195.552773782,0.481980730106
2017-05-28 09:05:06,5719.0,63.0,SGConst,0.0573065800958,0.000859927277982,0.0253260940809,0.000111930055083,0.0563419023277,0.00082211916568,0.0206688757709,0.000159952357491,185.450574159,0.607303319073
2017-05-28 22:32:38,5722.0,336.0,SGConst,0.0531910202796,6.87679721473e-05,0.0259734096429,1.61088410791e-05,0.0527897314702,5.95995383067e-05,0.0216498607584,2.24481876156e-05,187.167829563,0.193924996161
2017-05-30 10:56:40,5730.0,303.0,SGConst,0.0791191637463,0.000138063442316,0.022686160126,1.57083544897e-05,0.0773186374976,0.000144768642188,0.0157846870534,1.83040866361e-05,175.870965671,0.130807504038
2017-05-30 17:31:00,5730.0,303.0,SGConst,0.0791798702862,9.59105807723e-05,0.0217856091802,8.82565580877e-06,0.078355461731,0.000100899599505,0.0157805446343,1.57719454301e-05,170.088951545,0.123464962779
2017-05-30 17:31:00,5730.0,303.0,DGConst,0.0791818313932,9.56922142754e-05,0.0217854271443,8.84374796319e-06,0.078884932408,9.64255778084e-05,0.0158009242181,1.57713099088e-05,170.884881712,0.12865051213
2017-06-03 07:27:56,5737.0,303.0,SGConst,0.0776903630576,0.000148674127217,0.0226466453032,1.46599348284e-05,0.0766283012346,0.000153398947795,0.0154854175984,2.06435286585e-05,169.882755229,0.141475175899
2017-06-05 01:55:35,5746.0,589.0,SGConst,0.0695114756463,0.000145226281499,0.022569502598,1.50157459908e-05,0.0674849847418,0.000156019018999,0.0162831285911,1.91795606751e-05,157.88389148,0.108297774989
2017-06-05 03:18:19,5746.0,589.0,DGConst,0.0713516279901,0.000122972842503,0.0223217170784,1.12769961381e-05,0.071484578114,0.000123057853013,0.0163835289947,1.99670368449e-05,163.896722219,0.0987923276974
2017-06-05 03:18:19,5746.0,589.0,SGConst,0.0713512162324,0.00012298444864,0.0223216129278,1.12763969145e-05,0.0705078877272,0.000130171046748,0.0164003937238,2.01378935884e-05,162.930696278,0.0963737119759
2017-06-05 11:54:48,5746.0,589.0,SGConst,0.0737020795241,8.87448729332e-05,0.0220443518174,9.12053773492e-06,0.0725482640875,9.43300576503e-05,0.0164569172198,1.48341575584e-05,166.57350798,0.0826685024796
2017-06-05 23:18:09,5749.0,589.0,SGConst,0.0668482197648,0.00011443848694,0.0228988305274,1.37877211103e-05,0.0658198446479,0.000126424973474,0.016349983442,1.83308618511e-05,155.832793213,0.0768101267625
2017-06-06 03:02:38,5750.0,589.0,SGConst,0.0649306417003,0.000123413609749,0.0233844273869,1.63549928734e-05,0.0633461288477,0.000138723898448,0.0167745692692,2.00362620557e-05,157.811607697,0.0776108867413
