timestamp,fill,filledbunches,fit,peak_x_bx,peak_x_bx_stdev,capsigma_x_bx,capsigma_x_bx_stdev,peak_y_bx,peak_y_bx_stdev,capsigma_y_bx,capsigma_y_bx_stdev,sigmavis_bx,sigmavis_bx_stdev
2017-05-27 20:37:51,5718.0,63.0,SG,0.0967077611669,0.00143079095558,0.0251556471851,9.46514898021e-05,0.095328966938,0.00131461339508,0.0204505035688,0.000136248709229,308.215380562,0.189681093316
2017-05-27 21:49:09,5718.0,63.0,SG,0.098328276017,0.00128551333478,0.0250377271923,8.40471402624e-05,0.097205983944,0.00121144959789,0.0203918684327,0.000127704618944,311.829776883,0.0817703370482
2017-05-27 21:49:09,5718.0,63.0,DG,0.0984651827449,0.00131051201557,0.0250629590854,8.86850200585e-05,0.0989020411219,0.001288934136,0.0201022431825,0.000132109766225,310.464598266,0.166405979688
2017-05-28 03:59:52,5718.0,63.0,SG,0.105330846108,0.000895933903648,0.0244213860256,5.60842203549e-05,0.104924805451,0.000913577068757,0.0195859113756,9.8866866769e-05,314.999058769,0.132555675615
2017-05-28 09:05:06,5719.0,63.0,SG,0.0955449947223,0.00160098838125,0.0250443429458,0.000108066178759,0.0943830883418,0.00145522267086,0.0208568357258,0.00015044132562,309.009890791,0.176845466878
2017-05-28 22:32:38,5722.0,336.0,SG,0.092037556044,0.000110462093181,0.0253772018554,1.31984759179e-05,0.0913054426965,0.000103275293638,0.0214029913793,1.44185202553e-05,312.740474313,0.0519435794692
2017-05-30 10:56:40,5730.0,303.0,SG,0.138955248008,0.00028827355738,0.0221554137198,1.35244143878e-05,0.134047487976,0.000300836721888,0.0159507184339,2.47189373766e-05,302.774131813,0.146641200436
2017-05-30 17:31:00,5730.0,303.0,SG,0.137522653399,0.000161113676504,0.0215394547449,7.61968695125e-06,0.135523345738,0.000186323427747,0.0157461965624,1.77248313237e-05,290.806010353,0.0641801425286
2017-05-30 17:31:00,5730.0,303.0,DG,0.137654475036,0.000162431598789,0.0215459695237,8.59090502676e-06,0.137931066423,0.000166849982538,0.0154843514588,1.50922224108e-05,288.737113531,0.0583671311599
2017-06-03 07:27:56,5737.0,303.0,SG,0.138874688272,0.000293531769961,0.022195562841,1.35119011468e-05,0.135496503968,0.000308731858211,0.0155795616222,2.40089498693e-05,297.742696985,0.150774501721
2017-06-05 01:55:35,5746.0,589.0,SG,0.134402367604,0.000269755361855,0.0220029536662,1.2548045738e-05,0.129868133829,0.000299919127225,0.0164419280316,2.51606434458e-05,299.729574062,0.0887690243005
2017-06-05 03:18:19,5746.0,589.0,DG,0.134835857102,0.000223479638717,0.021880832944,1.10337059792e-05,0.135283254197,0.000215401549979,0.0159080229027,1.79393472801e-05,295.026259146,0.0430557571272
2017-06-05 03:18:19,5746.0,589.0,SG,0.13481199477,0.000223314916187,0.0218666842249,9.88932462497e-06,0.131436023893,0.000246631066158,0.0163212027018,2.22999242917e-05,298.070782486,0.0490168936148
2017-06-05 11:54:48,5746.0,589.0,SG,0.134583777709,0.000147856578561,0.0217772298266,6.73638664694e-06,0.132236374172,0.000162110069698,0.0164615834311,1.58058559023e-05,300.293943874,0.0523082068967
2017-06-05 23:18:09,5749.0,589.0,SG,0.130622383333,0.000254556476329,0.0223871480614,1.31296742045e-05,0.126869370205,0.00028113234651,0.0165738961811,2.4844890584e-05,299.560352377,0.0897141139942
2017-06-06 03:02:38,5750.0,589.0,SG,0.123175627737,0.000266795400235,0.0228793059989,1.54008188688e-05,0.120056874477,0.000298014344816,0.017070100301,2.73223750414e-05,297.721511361,0.0850919805897
